Loading Diffusion Policy from lerobot/diffusion_pusht...
WARNING:root:Unexpected key(s) when loading model: ['normalize_inputs.buffer_observation_image.mean', 'normalize_inputs.buffer_observation_image.std', 'normalize_inputs.buffer_observation_state.max', 'normalize_inputs.buffer_observation_state.min', 'normalize_targets.buffer_action.max', 'normalize_targets.buffer_action.min', 'unnormalize_outputs.buffer_action.max', 'unnormalize_outputs.buffer_action.min']
  Loaded: 262,709,026 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity: action=[0.81 1.  ], range=[0.8, 1.0]
  NORMALIZED
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep  0: -- | cov=0.948 | viol=  0 | 55.8s
  Ep  1: OK | cov=0.952 | viol=  0 | 42.8s
  Ep  2: OK | cov=0.955 | viol=  0 | 22.1s
  Ep  3: OK | cov=0.974 | viol=  0 | 28.0s
  Ep  4: OK | cov=0.951 | viol=  0 | 26.6s
  Ep  5: -- | cov=0.929 | viol=  0 | 56.1s
  Ep  6: OK | cov=0.952 | viol=  0 | 22.1s
  Ep  7: OK | cov=0.957 | viol=  0 | 38.4s
  Ep  8: OK | cov=0.962 | viol=  0 | 29.4s
  Ep  9: OK | cov=0.951 | viol=  0 | 51.6s
  Ep 10: OK | cov=0.978 | viol=  0 | 53.1s
  Ep 11: -- | cov=0.557 | viol=  0 | 56.1s
  Ep 12: -- | cov=0.622 | viol=  0 | 56.1s
  Ep 13: -- | cov=0.528 | viol=  0 | 56.1s
  Ep 14: OK | cov=0.955 | viol=  0 | 36.9s
  Ep 15: OK | cov=0.955 | viol=  0 | 31.0s
  Ep 16: -- | cov=0.609 | viol=  0 | 31.7s
  Ep 17: -- | cov=0.913 | viol=  0 | 31.9s
  Ep 18: OK | cov=0.988 | viol=  0 | 17.8s
  Ep 19: -- | cov=0.947 | viol=  0 | 31.1s
  Ep 20: -- | cov=0.504 | viol=  0 | 31.3s
  Ep 21: -- | cov=0.925 | viol=  0 | 31.1s
  Ep 22: OK | cov=0.963 | viol=  0 | 22.1s
  Ep 23: -- | cov=0.649 | viol=  0 | 30.8s
  Ep 24: OK | cov=0.962 | viol=  0 | 13.7s
  Ep 25: OK | cov=0.952 | viol=  0 | 25.3s
  Ep 26: OK | cov=0.970 | viol=  0 | 18.3s
  Ep 27: OK | cov=0.976 | viol=  0 | 14.1s
  Ep 28: OK | cov=0.957 | viol=  0 | 24.9s
  Ep 29: OK | cov=0.952 | viol=  0 | 10.7s
  Ep 30: -- | cov=0.684 | viol=  0 | 31.4s
  Ep 31: -- | cov=0.652 | viol=  0 | 31.9s
  Ep 32: -- | cov=0.937 | viol=  0 | 31.7s
  Ep 33: -- | cov=0.524 | viol=  0 | 31.5s
  Ep 34: OK | cov=0.954 | viol=  0 | 18.6s
  Ep 35: OK | cov=0.978 | viol=  0 | 22.6s
  Ep 36: OK | cov=0.959 | viol=  0 | 19.5s
  Ep 37: OK | cov=0.964 | viol=  0 | 27.6s
  Ep 38: OK | cov=0.952 | viol=  0 | 30.6s
  Ep 39: OK | cov=0.958 | viol=  0 | 22.1s
  Ep 40: OK | cov=0.956 | viol=  0 | 26.1s
  Ep 41: OK | cov=0.954 | viol=  0 | 18.0s
  Ep 42: OK | cov=0.951 | viol=  0 | 17.1s
  Ep 43: -- | cov=0.519 | viol=  0 | 31.5s
  Ep 44: OK | cov=0.953 | viol=  0 | 15.6s
  Ep 45: -- | cov=0.521 | viol=  0 | 32.0s
  Ep 46: OK | cov=0.965 | viol=  0 | 20.7s
  Ep 47: -- | cov=0.943 | viol=  0 | 31.4s
  Ep 48: OK | cov=0.950 | viol=  0 | 14.0s
  Ep 49: OK | cov=0.954 | viol=  0 | 26.4s
  Ep 50: -- | cov=0.940 | viol=  0 | 31.5s
  Ep 51: -- | cov=0.930 | viol=  0 | 33.0s
  Ep 52: OK | cov=0.961 | viol=  0 | 19.8s
  Ep 53: OK | cov=0.950 | viol=  0 | 28.4s
  Ep 54: -- | cov=0.904 | viol=  0 | 31.5s
  Ep 55: -- | cov=0.944 | viol=  0 | 32.3s
  Ep 56: OK | cov=0.958 | viol=  0 | 26.1s
  Ep 57: OK | cov=0.968 | viol=  0 | 20.0s
  Ep 58: -- | cov=0.684 | viol=  0 | 32.1s
  Ep 59: OK | cov=0.956 | viol=  0 | 17.7s
  Ep 60: OK | cov=0.955 | viol=  0 | 23.6s
  Ep 61: OK | cov=0.959 | viol=  0 | 29.2s
  Ep 62: OK | cov=0.956 | viol=  0 | 28.5s
  Ep 63: -- | cov=0.608 | viol=  0 | 31.2s
  Ep 64: OK | cov=0.961 | viol=  0 | 21.7s
  Ep 65: OK | cov=0.957 | viol=  0 | 16.3s
  Ep 66: -- | cov=0.947 | viol=  0 | 31.0s
  Ep 67: OK | cov=0.959 | viol=  0 | 15.7s
  Ep 68: -- | cov=0.918 | viol=  0 | 31.1s
  Ep 69: -- | cov=0.537 | viol=  0 | 31.7s
  Ep 70: -- | cov=0.945 | viol=  0 | 31.0s
  Ep 71: OK | cov=0.955 | viol=  0 | 29.8s
  Ep 72: OK | cov=0.955 | viol=  0 | 24.2s
  Ep 73: -- | cov=0.950 | viol=  0 | 32.3s
  Ep 74: -- | cov=0.948 | viol=  0 | 32.2s
  Ep 75: OK | cov=0.960 | viol=  0 | 22.1s
  Ep 76: OK | cov=0.968 | viol=  0 | 26.0s
  Ep 77: -- | cov=0.943 | viol=  0 | 33.1s
  Ep 78: OK | cov=0.952 | viol=  0 | 15.6s
  Ep 79: -- | cov=0.868 | viol=  0 | 31.5s
  Ep 80: OK | cov=0.952 | viol=  0 | 22.6s
  Ep 81: OK | cov=0.959 | viol=  0 | 27.7s
  Ep 82: OK | cov=0.974 | viol=  0 | 16.5s
  Ep 83: -- | cov=0.435 | viol=  0 | 32.8s
  Ep 84: -- | cov=0.941 | viol=  0 | 31.8s
  Ep 85: OK | cov=0.951 | viol=  0 | 16.6s
  Ep 86: OK | cov=0.952 | viol=  0 | 8.8s
  Ep 87: -- | cov=0.620 | viol=  0 | 32.8s
  Ep 88: OK | cov=0.954 | viol=  0 | 19.7s
  Ep 89: OK | cov=0.958 | viol=  0 | 15.7s
  Ep 90: -- | cov=0.925 | viol=  0 | 31.4s
  Ep 91: -- | cov=0.677 | viol=  0 | 33.1s
  Ep 92: -- | cov=0.638 | viol=  0 | 31.2s
  Ep 93: -- | cov=0.944 | viol=  0 | 31.8s
  Ep 94: -- | cov=0.916 | viol=  0 | 32.4s
  Ep 95: OK | cov=0.961 | viol=  0 | 24.3s
  Ep 96: -- | cov=0.934 | viol=  0 | 32.2s
  Ep 97: -- | cov=0.944 | viol=  0 | 31.2s
  Ep 98: -- | cov=0.930 | viol=  0 | 31.5s
  Ep 99: -- | cov=0.928 | viol=  0 | 33.6s
  Ep 100: OK | cov=0.978 | viol=  0 | 26.0s
  Ep 101: -- | cov=0.949 | viol=  0 | 32.3s
  Ep 102: OK | cov=0.957 | viol=  0 | 23.5s
  Ep 103: -- | cov=0.566 | viol=  0 | 32.7s
  Ep 104: OK | cov=0.952 | viol=  0 | 28.8s
  Ep 105: OK | cov=0.959 | viol=  0 | 18.9s
  Ep 106: -- | cov=0.925 | viol=  0 | 36.7s
  Ep 107: -- | cov=0.662 | viol=  0 | 34.4s
  Ep 108: OK | cov=0.951 | viol=  0 | 22.4s
  Ep 109: OK | cov=0.951 | viol=  0 | 30.9s
  Ep 110: -- | cov=0.929 | viol=  0 | 31.1s
  Ep 111: -- | cov=0.906 | viol=  0 | 31.4s
  Ep 112: OK | cov=0.955 | viol=  0 | 12.9s
  Ep 113: OK | cov=0.952 | viol=  0 | 15.3s
  Ep 114: OK | cov=0.954 | viol=  0 | 17.9s
  Ep 115: OK | cov=0.962 | viol=  0 | 18.5s
  Ep 116: OK | cov=0.950 | viol=  0 | 19.2s
  Ep 117: -- | cov=0.930 | viol=  0 | 34.0s
  Ep 118: -- | cov=0.948 | viol=  0 | 31.7s
  Ep 119: OK | cov=0.962 | viol=  0 | 22.2s
  Ep 120: OK | cov=0.952 | viol=  0 | 28.2s
  Ep 121: -- | cov=0.612 | viol=  0 | 33.3s
  Ep 122: OK | cov=0.952 | viol=  0 | 15.9s
