/usr/local/lib/python3.10/dist-packages/lerobot/policies/vqbet/vqbet_utils.py:1373: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @autocast(enabled=False)
Loading VQ-BeT from lerobot/vqbet_pusht (manual config patch)...
number of parameters: 26.00M
  Loaded: 37,515,530 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity check action: [0.04 0.81]
  Action range: [0.0, 0.8]
  Actions appear NORMALIZED [-1,1]
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep  0: -- | cov=0.584 | steps=300 | viol=  0 | 1.4s
  Ep  1: -- | cov=0.670 | steps=300 | viol=  0 | 1.4s
  Ep  2: -- | cov=0.897 | steps=300 | viol=  0 | 1.3s
  Ep  3: -- | cov=0.942 | steps=300 | viol=  0 | 1.2s
  Ep  4: OK | cov=0.951 | steps=143 | viol=  0 | 0.6s
  Ep  5: -- | cov=0.948 | steps=300 | viol=  0 | 1.2s
  Ep  6: OK | cov=0.958 | steps=110 | viol=  0 | 0.4s
  Ep  7: OK | cov=0.951 | steps=159 | viol=  0 | 0.6s
  Ep  8: OK | cov=0.984 | steps=166 | viol=  0 | 0.7s
  Ep  9: OK | cov=0.953 | steps=263 | viol=  0 | 1.0s
  Ep 10: -- | cov=0.366 | steps=300 | viol=  0 | 1.2s
  Ep 11: OK | cov=0.973 | steps=215 | viol=  0 | 0.8s
  Ep 12: -- | cov=0.899 | steps=300 | viol=  0 | 1.2s
  Ep 13: -- | cov=0.644 | steps=300 | viol=  0 | 1.2s
  Ep 14: OK | cov=0.952 | steps=153 | viol=  0 | 0.6s
  Ep 15: -- | cov=0.313 | steps=300 | viol=  0 | 1.2s
  Ep 16: OK | cov=0.958 | steps=190 | viol=  0 | 0.7s
  Ep 17: -- | cov=0.937 | steps=300 | viol=  0 | 1.2s
  Ep 18: OK | cov=0.952 | steps=139 | viol=  0 | 0.5s
  Ep 19: OK | cov=0.956 | steps=127 | viol=  0 | 0.5s
  Ep 20: -- | cov=0.259 | steps=300 | viol=  0 | 1.2s
  Ep 21: OK | cov=0.974 | steps=163 | viol=  0 | 0.6s
  Ep 22: -- | cov=0.000 | steps=300 | viol=  0 | 1.1s
  Ep 23: OK | cov=0.955 | steps=260 | viol=  0 | 1.0s
  Ep 24: OK | cov=0.958 | steps=114 | viol=  0 | 0.5s
  Ep 25: -- | cov=0.348 | steps=300 | viol=  0 | 1.2s
  Ep 26: OK | cov=0.965 | steps=136 | viol=  0 | 0.5s
  Ep 27: OK | cov=0.955 | steps=149 | viol=  0 | 0.6s
  Ep 28: -- | cov=0.943 | steps=300 | viol=  0 | 1.2s
  Ep 29: OK | cov=0.952 | steps=134 | viol=  0 | 0.5s
  Ep 30: -- | cov=0.110 | steps=300 | viol=  0 | 1.2s
  Ep 31: -- | cov=0.514 | steps=300 | viol=  0 | 1.2s
  Ep 32: OK | cov=0.950 | steps=260 | viol=  0 | 1.2s
  Ep 33: OK | cov=0.959 | steps=238 | viol=  0 | 1.0s
  Ep 34: OK | cov=0.980 | steps=129 | viol=  0 | 0.5s
  Ep 35: -- | cov=0.416 | steps=300 | viol=  0 | 1.2s
  Ep 36: OK | cov=0.961 | steps=128 | viol=  0 | 0.5s
  Ep 37: -- | cov=0.654 | steps=300 | viol=  0 | 1.2s
  Ep 38: -- | cov=0.438 | steps=300 | viol=  0 | 1.2s
  Ep 39: OK | cov=0.959 | steps=249 | viol=  0 | 1.0s
  Ep 40: -- | cov=0.949 | steps=300 | viol=  0 | 1.2s
  Ep 41: -- | cov=0.934 | steps=300 | viol=  0 | 1.2s
  Ep 42: OK | cov=0.956 | steps=284 | viol=  0 | 1.1s
  Ep 43: -- | cov=0.451 | steps=300 | viol=  0 | 1.2s
  Ep 44: OK | cov=0.954 | steps=121 | viol=  0 | 0.5s
  Ep 45: -- | cov=0.500 | steps=300 | viol=  0 | 1.4s
  Ep 46: -- | cov=0.681 | steps=300 | viol=  0 | 1.4s
  Ep 47: -- | cov=0.947 | steps=300 | viol=  0 | 1.3s
  Ep 48: OK | cov=0.950 | steps=199 | viol=  0 | 0.8s
  Ep 49: OK | cov=0.961 | steps=209 | viol=  0 | 0.8s
  Ep 50: OK | cov=0.954 | steps=124 | viol=  0 | 0.5s
  Ep 51: -- | cov=0.684 | steps=300 | viol=  0 | 1.2s
  Ep 52: -- | cov=0.674 | steps=300 | viol=  0 | 1.2s
